,accommodates,price,guests_included,extra_people
762,2,31.0,1,20.00
763,3,115.0,1,0.00
764,6,120.0,1,0.00
765,4,75.0,2,12.00
766,2,53.0,1,20.00
767,1,25.0,1,0.00
768,1,30.0,1,0.00
769,3,54.0,1,0.00
770,3,150.0,2,50.00
771,6,320.0,6,20.00
772,2,65.0,1,0.00
773,3,379.0,4,50.00
774,6,350.0,2,25.00
775,4,119.0,1,0.00
776,4,32.0,2,10.00
777,1,17.0,1,0.00
778,2,40.0,1,0.00
779,2,90.0,2,20.00
780,2,60.0,1,0.00
781,2,65.0,1,0.00
782,3,68.0,2,20.00
783,4,99.0,4,0.00
784,2,75.0,1,10.00
785,3,75.0,2,0.00
786,4,115.0,1,0.00
787,2,74.0,1,4.00
788,1,35.0,1,20.00
789,2,13.0,1,4.00
790,2,65.0,1,0.00
791,4,97.0,1,0.00
792,4,130.0,1,15.00
793,4,125.0,1,0.00
794,2,60.0,1,0.00
795,6,79.0,5,15.00
796,2,60.0,1,0.00
797,3,60.0,1,0.00
798,3,75.0,1,0.00
799,1,25.0,1,25.00
800,2,40.0,1,0.00
801,1,40.0,1,0.00
802,3,75.0,1,0.00
803,4,110.0,2,0.00
804,6,50.0,2,30.00
805,4,50.0,2,10.00
806,4,80.0,2,12.00
807,2,40.0,1,0.00
808,5,100.0,2,0.00
809,2,100.0,1,0.00
810,2,45.0,1,15.00
811,2,60.0,1,0.00
812,3,80.0,1,25.00
813,3,35.0,1,20.00
814,2,35.0,1,0.00
815,2,30.0,1,0.00
816,3,115.0,3,25.00
817,4,65.0,2,12.00
818,2,95.0,2,10.00
819,8,230.0,1,0.00
820,2,79.0,2,30.00
821,2,35.0,1,0.00
822,4,195.0,1,0.00
823,4,150.0,1,0.00
824,2,20.0,1,20.00
825,2,35.0,1,0.00
826,5,133.0,1,0.00
827,2,55.0,1,0.00
828,2,55.0,1,0.00
829,3,55.0,2,10.00
830,2,75.0,1,0.00
831,2,40.0,2,10.00
832,3,222.0,1,0.00
833,4,69.0,1,0.00
834,4,90.0,1,10.00
835,4,99.0,1,15.00
836,5,130.0,5,20.00
837,3,54.0,2,10.00
838,2,60.0,1,0.00
839,2,35.0,1,0.00
840,2,50.0,1,0.00
841,6,80.0,2,10.00
842,7,150.0,4,25.00
843,3,45.0,1,20.00
844,2,47.0,1,0.00
845,2,44.0,1,0.00
846,2,60.0,1,0.00
847,2,50.0,1,0.00
848,2,35.0,1,10.00
849,7,75.0,4,15.00
850,4,69.0,2,0.00
851,6,99.0,4,0.00
852,7,139.0,1,0.00
853,6,99.0,4,0.00
854,4,99.0,4,0.00
855,2,50.0,1,0.00
856,2,55.0,3,0.00
857,4,125.0,2,25.00
858,2,50.0,1,0.00
859,6,140.0,1,0.00
860,2,70.0,2,0.00
861,3,95.0,1,0.00
862,4,60.0,2,10.00
863,4,94.0,1,0.00
864,4,94.0,1,0.00
865,4,99.0,1,0.00
866,4,99.0,1,0.00
867,4,94.0,1,0.00
868,4,94.0,1,0.00
869,4,94.0,1,0.00
870,2,59.0,1,0.00
871,4,94.0,1,0.00
872,2,38.0,1,12.00
873,4,79.0,2,15.00
874,3,30.0,1,15.00
875,2,25.0,1,0.00
876,2,50.0,2,10.00
877,1,25.0,1,0.00
878,6,190.0,4,20.00
879,3,60.0,1,0.00
880,2,59.0,1,0.00
881,2,90.0,1,0.00
882,4,80.0,1,0.00
883,2,50.0,1,0.00
884,1,29.0,1,0.00
885,4,27.0,1,0.00
886,4,40.0,2,15.00
887,5,150.0,1,0.00
888,8,435.0,8,100.00
889,2,30.0,1,0.00
890,3,79.0,3,20.00
891,2,100.0,1,0.00
892,4,105.0,4,0.00
893,6,115.0,2,15.00
894,2,40.0,2,15.00
895,2,90.0,1,60.00
896,2,90.0,1,0.00
897,4,58.0,2,0.00
898,2,90.0,1,0.00
899,2,28.0,1,5.00
900,2,50.0,2,30.00
901,3,120.0,1,0.00
902,4,115.0,2,15.00
903,1,28.0,1,0.00
904,2,63.0,1,0.00
905,2,85.0,1,0.00
906,2,70.0,1,0.00
907,2,50.0,1,0.00
908,4,60.0,1,0.00
909,2,54.0,1,0.00
910,3,40.0,1,0.00
911,2,93.0,1,0.00
912,1,25.0,1,0.00
913,2,80.0,1,20.00
914,4,75.0,2,12.00
915,2,22.0,1,0.00
916,2,40.0,1,10.00
917,2,40.0,1,10.00
918,2,30.0,1,0.00
919,7,90.0,3,8.00
920,2,69.0,1,0.00
921,4,95.0,2,10.00
922,5,87.0,4,40.00
923,3,100.0,2,0.00
924,4,60.0,1,0.00
925,4,78.0,1,0.00
926,2,65.0,1,0.00
927,4,100.0,1,0.00
928,3,30.0,1,0.00
929,5,70.0,2,10.00
930,2,60.0,1,0.00
931,2,55.0,1,0.00
932,2,130.0,2,30.00
933,6,120.0,1,0.00
934,2,55.0,1,0.00
935,2,49.0,2,30.00
936,2,65.0,1,0.00
937,2,59.0,1,4.00
938,3,25.0,1,12.00
939,2,80.0,1,0.00
940,2,60.0,1,0.00
941,3,35.0,1,15.00
942,4,75.0,1,0.00
943,4,90.0,2,25.00
944,4,59.0,2,10.00
945,6,100.0,1,0.00
946,3,50.0,2,15.00
947,4,59.0,2,18.00
948,2,60.0,1,0.00
949,2,35.0,1,10.00
950,2,30.0,1,0.00
951,4,160.0,1,0.00
952,1,25.0,1,0.00
953,2,45.0,1,0.00
954,2,150.0,1,0.00
955,5,99.0,1,0.00
956,2,120.0,1,0.00
957,2,130.0,1,0.00
958,2,20.0,1,0.00
959,3,120.0,1,0.00
960,2,69.0,1,0.00
961,6,300.0,4,15.00
962,3,69.0,1,15.00
963,3,35.0,1,0.00
964,3,22.0,1,12.00
965,3,77.0,2,8.00
966,4,115.0,2,0.00
967,3,75.0,1,0.00
968,3,65.0,1,15.00
969,2,45.0,1,0.00
970,5,99.0,4,20.00
971,2,130.0,2,35.00
972,2,150.0,1,0.00
973,4,27.0,1,15.00
974,3,70.0,1,0.00
975,3,135.0,2,25.00
976,2,59.0,1,0.00
977,3,35.0,3,50.00
978,16,550.0,1,0.00
979,4,75.0,1,10.00
980,2,135.0,2,25.00
981,2,65.0,1,0.00
982,4,39.0,1,0.00
983,10,49.0,1,0.00
984,4,150.0,1,0.00
985,3,60.0,1,20.00
986,2,99.0,1,0.00
987,3,40.0,2,20.00
988,2,60.0,2,0.00
989,1,35.0,1,5.00
990,2,100.0,1,0.00
991,5,75.0,2,25.00
992,2,75.0,1,0.00
993,2,65.0,1,0.00
