,host_response_time,host_response_rate,host_is_superhost,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,amenities_%
100,2,100,0,51.20605,4.408580000000001,2,1.0,1,1.0,55.00,94.0,1,0,0,0,0,0,0,0,1,42.857142857142854
101,1,100,0,51.22392,4.40238,5,1.0,2,3.0,88.00,89.0,1,0,0,0,0,0,0,0,1,57.14285714285714
102,1,100,0,51.21898,4.42506,3,1.0,0,1.0,51.00,90.0,1,0,0,0,0,0,0,0,1,50.0
103,0,0,0,51.21253,4.39235,2,1.0,1,1.0,49.00,96.0,0,0,1,0,0,0,0,0,1,50.0
104,3,100,0,51.20513,4.40969,2,1.0,1,1.0,32.00,93.0,0,0,1,0,0,0,0,0,1,7.142857142857142
105,0,0,0,51.21756,4.44284,2,1.0,1,1.0,40.00,0.0,1,0,0,0,0,0,0,0,1,35.714285714285715
106,0,0,0,51.206179999999996,4.415719999999999,2,1.0,2,1.0,110.00,100.0,1,0,0,0,0,0,0,0,1,50.0
107,2,100,0,51.2223,4.4074599999999995,4,1.0,2,2.0,180.00,100.0,1,0,0,0,0,0,0,0,1,50.0
108,0,0,0,51.19916,4.41589,1,1.0,1,1.0,50.00,0.0,0,0,1,0,0,0,0,0,1,28.57142857142857
109,0,0,0,51.21154,4.43096,2,1.0,1,1.0,65.00,93.0,1,0,0,0,0,0,0,0,1,42.857142857142854
110,1,97,0,51.21183,4.44019,2,0.5,1,2.0,27.00,91.0,0,0,1,0,0,0,0,0,1,42.857142857142854
111,1,100,0,51.20767,4.407,2,1.0,1,1.0,75.00,99.0,0,0,1,0,0,0,0,0,1,35.714285714285715
112,3,100,0,51.17582,4.3474,4,1.5,1,1.0,55.00,0.0,0,0,1,0,1,0,0,0,0,50.0
113,2,100,0,51.22677,4.41754,2,1.0,0,1.0,75.00,85.0,1,0,0,0,0,0,0,0,1,57.14285714285714
114,1,100,0,51.21432,4.4362,3,1.0,2,2.0,58.00,92.0,1,0,0,0,0,0,0,0,1,42.857142857142854
115,1,100,0,51.20835,4.4067099999999995,2,1.0,1,2.0,75.00,94.0,0,0,1,0,0,0,0,0,1,42.857142857142854
116,4,25,0,51.2332,4.4103900000000005,2,1.5,1,1.0,200.00,97.0,1,0,0,0,0,0,0,0,1,42.857142857142854
117,1,100,0,51.2088,4.42701,2,1.5,1,1.0,60.00,93.0,0,0,1,0,0,0,0,0,1,64.28571428571429
118,1,100,0,51.21906,4.430219999999999,4,1.5,2,3.0,180.00,97.0,1,0,0,0,0,0,0,0,1,57.14285714285714
119,1,100,0,51.222390000000004,4.41097,4,2.0,2,4.0,135.00,97.0,1,0,0,0,0,0,0,0,1,50.0
120,3,100,0,51.22432,4.4149199999999995,2,1.0,1,1.0,47.00,93.0,1,0,0,0,0,0,0,0,1,35.714285714285715
121,1,100,1,51.20582,4.38771,8,2.0,2,4.0,99.00,97.0,1,0,0,0,0,0,0,0,1,71.42857142857143
122,4,0,0,51.22503,4.42106,2,1.0,1,1.0,55.00,100.0,1,0,0,0,0,0,0,0,1,50.0
123,2,100,1,51.200959999999995,4.40172,3,1.0,2,1.0,41.00,96.0,1,0,0,0,0,0,0,0,1,42.857142857142854
124,1,100,0,51.218579999999996,4.39654,2,1.0,1,0.0,60.00,90.0,1,0,0,0,0,0,0,0,1,21.428571428571427
125,0,0,0,51.209540000000004,4.41171,2,1.0,1,1.0,50.00,93.0,1,0,0,0,0,0,0,0,1,35.714285714285715
126,2,100,0,51.18482,4.38692,3,1.0,1,3.0,60.00,95.0,0,0,1,0,0,0,0,0,1,21.428571428571427
127,1,100,1,51.22143,4.402830000000001,2,1.5,1,1.0,40.00,90.0,0,0,1,0,0,0,0,0,1,50.0
128,0,0,0,51.235620000000004,4.41177,2,1.0,1,1.0,40.00,91.0,1,0,0,0,0,0,0,0,1,42.857142857142854
129,0,0,0,51.203070000000004,4.40751,2,1.0,1,1.0,65.00,0.0,1,0,0,0,0,0,0,0,1,21.428571428571427
130,1,100,1,51.217690000000005,4.3983300000000005,4,1.0,0,2.0,79.00,95.0,1,0,0,0,0,0,0,0,1,42.857142857142854
131,1,100,1,51.229459999999996,4.40614,4,2.0,2,2.0,150.00,98.0,1,0,0,0,0,0,0,0,1,64.28571428571429
132,1,100,1,51.2162,4.4096400000000004,2,1.0,0,1.0,59.00,96.0,1,0,0,0,0,0,0,0,1,35.714285714285715
133,2,100,0,51.20682,4.45076,2,1.0,1,1.0,50.00,87.0,1,0,0,0,0,0,0,0,1,35.714285714285715
134,3,100,0,51.20924,4.4251,3,1.0,1,1.0,36.00,93.0,0,0,1,0,0,0,0,1,0,42.857142857142854
135,0,0,0,51.21997,4.4079,2,1.0,1,1.0,49.00,97.0,0,0,1,0,0,0,0,0,1,35.714285714285715
136,1,100,1,51.21785,4.39927,6,1.0,4,4.0,190.00,93.0,1,0,0,0,0,0,0,0,1,28.57142857142857
137,0,0,0,51.21723,4.4410099999999995,5,1.0,2,3.0,60.00,90.0,1,0,0,0,0,0,0,0,1,14.285714285714285
138,1,100,0,51.20554,4.41755,2,1.0,1,3.0,25.00,0.0,1,0,0,0,0,0,0,0,1,42.857142857142854
139,1,100,0,51.20282,4.41345,2,1.0,1,2.0,25.00,60.0,1,0,0,0,0,0,0,0,1,42.857142857142854
140,3,100,0,51.21034,4.41771,2,1.0,1,1.0,109.00,80.0,0,0,1,0,0,0,0,0,1,64.28571428571429
141,3,100,1,51.217940000000006,4.43274,5,1.0,3,3.0,175.00,100.0,1,0,0,0,0,0,0,0,1,28.57142857142857
142,1,100,0,51.21295,4.39116,6,1.0,3,6.0,375.00,99.0,1,0,0,0,0,0,0,0,1,64.28571428571429
143,1,100,0,51.222429999999996,4.41266,2,0.5,1,1.0,65.00,92.0,0,0,1,0,0,0,0,0,1,42.857142857142854
144,1,100,0,51.21011,4.40581,2,1.0,0,1.0,75.00,90.0,1,0,0,0,0,0,0,0,1,35.714285714285715
145,1,100,0,51.21687,4.40709,2,1.0,0,1.0,99.00,98.0,1,0,0,0,0,0,0,0,1,42.857142857142854
146,3,80,0,51.21804,4.3989400000000005,4,2.5,2,2.0,160.00,97.0,1,0,0,0,0,0,0,0,1,21.428571428571427
147,1,100,1,51.201440000000005,4.42245,5,1.5,3,5.0,100.00,96.0,1,0,0,0,0,0,0,0,1,50.0
